"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2007-01-03",67.92,68.72,67.8,68.35,1912400,51.96
"2007-01-04",68.45,68.8,67.89,68.71,1900100,52.24
"2007-01-05",68.68,68.7,68.18,68.44,1921900,52.03
"2007-01-08",68.34,68.91,68,68.83,1774200,52.33
"2007-01-09",68.92,69.39,68.53,69,2200300,52.46
"2007-01-10",68.79,69.35,68.6,69.3,1343600,52.68
"2007-01-11",69.26,69.48,69.02,69.13,1220200,52.56
"2007-01-12",68.95,69.35,68.88,69.01,1362500,52.46
"2007-01-16",69.21,69.57,68.45,68.63,2633200,52.18
"2007-01-17",68.7,69.37,68.63,69.22,1314000,52.62
"2007-01-18",69.9,69.9,68.88,69.14,1407400,52.56
"2007-01-19",69.29,69.38,68.76,68.91,1352700,52.39
"2007-01-22",69.37,69.4,68.08,69.05,2035600,52.49
"2007-01-23",68.92,69.97,68.92,69.68,1759600,52.97
"2007-01-24",69.5,69.95,69.26,69.47,1084500,52.81
"2007-01-25",69.39,69.43,68.68,68.74,2254500,52.26
"2007-01-26",68.55,68.65,68.14,68.25,2003300,51.89
"2007-01-29",68.15,68.61,68.03,68.32,2505500,51.94
"2007-01-30",68.34,69.1,67.66,69.02,1815500,52.47
"2007-01-31",69.05,69.72,68.87,69.4,1505400,52.76
"2007-02-01",69.31,69.58,69.07,69.48,1350300,52.82
"2007-02-02",69.48,69.71,69.25,69.47,1481400,52.81
"2007-02-05",69.11,69.35,68.79,69.21,1205400,52.62
"2007-02-06",69.21,69.61,69.07,69.48,1252600,52.82
"2007-02-07",69.33,69.5,68.86,68.98,1224900,52.44
"2007-02-08",68.9,69.12,68.32,68.41,1685700,52.01
"2007-02-09",68.59,68.95,68.18,68.34,1675700,51.95
"2007-02-12",68.2,68.7,68.2,68.33,1082600,51.95
"2007-02-13",68.7,68.91,68.42,68.86,1679500,52.35
"2007-02-14",68.86,69.82,68.82,69.57,1250400,52.89
"2007-02-15",69.43,69.77,69.24,69.63,1130400,52.94
"2007-02-16",69.3,69.89,69.16,69.34,1496300,52.72
"2007-02-20",69.4,70,69.12,69.99,1036900,53.21
"2007-02-21",69.8,69.91,69.31,69.61,1359300,52.92
"2007-02-22",69.75,69.8,69.2,69.5,1012800,52.84
"2007-02-23",69.4,70.14,69.18,70,2577300,53.22
"2007-02-26",69.91,70.1,69.56,69.9,1104500,53.14
"2007-02-27",69.9,70.28,67.25,68.21,2497200,51.86
"2007-02-28",67.91,68.93,67.71,68,4268000,51.7
"2007-03-01",67.9,68.46,66.39,68.17,2896700,51.83
"2007-03-02",67.83,68.16,66.95,67.24,1910300,51.12
"2007-03-05",67.24,68.28,67.05,67.59,2223700,51.38
"2007-03-06",67.84,68.08,67.52,68.02,1427800,51.71
"2007-03-07",67.58,67.98,66.97,67.07,1332200,51.39
"2007-03-08",67.6,67.77,67.07,67.3,1926800,51.57
"2007-03-09",67.45,67.67,67.07,67.26,1525900,51.54
"2007-03-12",66.95,67.26,66.83,66.89,1474200,51.25
"2007-03-13",66.73,66.98,66.42,66.54,2627000,50.98
"2007-03-14",66.64,67.37,65.99,66.97,3062400,51.31
"2007-03-15",66.97,67.29,66.82,67,1884700,51.34
"2007-03-16",67,67.1,66.46,66.72,2033100,51.12
"2007-03-19",66.9,67.45,66.75,67.35,1483000,51.6
"2007-03-20",67.31,68.06,67.3,68.04,1887100,52.13
"2007-03-21",67.9,68.75,67.86,68.71,1769100,52.65
"2007-03-22",67.86,69.39,67.86,69.11,1525000,52.95
"2007-03-23",69.11,69.28,68.74,68.99,1189700,52.86
"2007-03-26",68.8,68.98,68.36,68.94,1243600,52.82
"2007-03-27",68.58,68.75,68.18,68.64,1477200,52.59
"2007-03-28",68.5,68.9,67.96,68.72,2691000,52.65
"2007-03-29",69.35,69.35,68.4,68.8,1696500,52.72
"2007-03-30",68.76,68.92,67.94,68.49,3682100,52.48
"2007-04-02",68.51,68.82,68.19,68.62,1433700,52.58
"2007-04-03",68.89,69.22,68.75,69.05,1161700,52.91
"2007-04-04",69.2,69.45,68.85,69.16,1121300,52.99
"2007-04-05",69.26,69.73,69.15,69.66,920000,53.37
"2007-04-09",69.8,70.17,69.47,70.11,1116600,53.72
"2007-04-10",70.11,70.54,70.03,70.35,1875700,53.9
"2007-04-11",70.2,70.34,69.46,69.62,1629900,53.34
"2007-04-12",69.4,69.99,69.22,69.94,1370600,53.59
"2007-04-13",69.94,70.24,69.77,70.14,971300,53.74
"2007-04-16",70.33,70.69,70.18,70.69,1723200,54.16
"2007-04-17",70.91,71.33,70.69,71.3,1858000,54.63
"2007-04-18",71.07,71.86,71.07,71.3,2180300,54.63
"2007-04-19",72.16,72.16,71.09,71.4,1431400,54.71
"2007-04-20",71.6,71.96,71.06,71.94,2874100,55.12
"2007-04-23",71.75,71.95,70,71.1,2163600,54.48
"2007-04-24",70.85,71.23,70.24,70.85,1942800,54.29
"2007-04-25",71,71.92,70.55,71.88,1683200,55.08
"2007-04-26",71.7,71.9,71.3,71.71,2067300,54.94
"2007-04-27",71.48,71.93,71.3,71.63,909700,54.88
"2007-04-30",71.16,71.65,71,71.17,1384900,54.53
"2007-05-01",70.28,71.59,70.28,71.46,1758400,54.75
"2007-05-02",71.26,71.75,70.94,71.6,831700,54.86
"2007-05-03",71.8,71.8,70.93,71.11,1190900,54.49
"2007-05-04",71.12,71.64,70.87,71.25,1225200,54.59
"2007-05-07",71.15,71.64,70.91,71.53,1216900,54.81
"2007-05-08",71.4,71.53,71,71.19,947200,54.55
"2007-05-09",71.33,71.55,70.83,71.43,2046300,54.73
"2007-05-10",71.25,71.31,70.73,70.87,1600500,54.3
"2007-05-11",70.95,71.36,70.7,71.27,1163600,54.61
"2007-05-14",70.99,71.4,70.65,70.69,1611400,54.16
"2007-05-15",70.99,71,70.2,70.29,2073800,53.86
"2007-05-16",70.39,71.7,70.29,71.6,1473000,54.86
"2007-05-17",71.3,72.02,71.18,71.75,1663800,54.98
"2007-05-18",71.77,71.94,71.56,71.91,1709900,55.1
"2007-05-21",71.5,71.89,71.23,71.46,1189300,54.75
"2007-05-22",71.22,71.34,70.84,70.94,1199300,54.35
"2007-05-23",71,71.25,70.7,70.85,1141100,54.29
"2007-05-24",70.7,71.15,70.54,70.62,1633000,54.11
"2007-05-25",70.89,71.21,70.6,71.01,872300,54.41
"2007-05-29",70.62,71.2,70.57,70.8,1831400,54.25
"2007-05-30",70.13,71.26,70.13,71.19,1531500,54.55
"2007-05-31",70.96,71.23,70.77,70.96,1478600,54.37
"2007-06-01",70.96,71.86,70.96,71.67,2181400,54.91
"2007-06-04",71.67,72.06,71.51,71.94,1979000,55.12
"2007-06-05",72.16,72.79,71.55,71.98,1559700,55.15
"2007-06-06",71.28,71.33,70.38,70.41,1212200,54.35
"2007-06-07",70.41,70.52,69.66,69.66,1619800,53.77
"2007-06-08",69.5,70.28,69.4,70.26,1344900,54.23
"2007-06-11",70.26,70.36,69.9,69.96,1017000,54
"2007-06-12",69.59,69.91,69.39,69.44,2253200,53.6
"2007-06-13",69.75,70.72,69.44,70.37,2272700,54.32
"2007-06-14",70.45,70.6,69.64,70.13,1283400,54.13
"2007-06-15",70.62,70.75,69.31,69.38,2534900,53.55
"2007-06-18",69.38,69.54,69.12,69.27,1674200,53.47
"2007-06-19",69.27,69.27,67.94,68.19,2663900,52.64
"2007-06-20",68.43,68.69,67.6,67.6,2086500,52.18
"2007-06-21",67.4,67.84,67,67.58,2641800,52.16
"2007-06-22",67.47,67.47,66.53,66.68,2986600,51.47
"2007-06-25",66.78,67.34,66.44,66.68,1857900,51.47
"2007-06-26",67.05,67.71,66.8,67.1,2668000,51.79
"2007-06-27",66.55,66.89,66.05,66.8,2159700,51.56
"2007-06-28",66.69,67.15,66.46,66.6,1453600,51.41
"2007-06-29",66.68,67.3,66.38,66.89,1708100,51.63
"2007-07-02",67.17,67.67,67.01,67.67,1643700,52.23
"2007-07-03",67.95,67.96,67.62,67.71,867200,52.26
"2007-07-05",67.83,68.06,67.6,67.82,1470800,52.35
"2007-07-06",67.82,67.82,67.32,67.4,988100,52.03
"2007-07-09",67.65,68,66.68,67.1,2930300,51.79
"2007-07-10",66.26,66.6,65.73,65.76,3134700,50.76
"2007-07-11",65.39,66.29,63.79,66.06,3346200,50.99
"2007-07-12",66.01,67.42,66,67.37,1955600,52
"2007-07-13",67.44,67.5,66.71,67.03,1327500,51.74
"2007-07-16",66.95,67.62,66.7,67.42,1709200,52.04
"2007-07-17",67.3,67.53,66.77,66.77,1750300,51.54
"2007-07-18",66.78,67.05,66.12,66.8,2119200,51.56
"2007-07-19",66.96,67.4,66.93,67.27,1933200,51.93
"2007-07-20",67.4,67.53,66.55,66.56,1842900,51.38
"2007-07-23",66.74,67.48,66.64,67.48,1623100,52.09
"2007-07-24",69.4,69.5,67.83,68.29,4134500,52.71
"2007-07-25",69,69.29,67.72,69.21,3635400,53.42
"2007-07-26",67.56,70.37,67.41,68.58,4814900,52.94
"2007-07-27",68.73,69.25,68.11,68.18,3139600,52.63
"2007-07-30",67.89,68.7,67.58,68.35,3083800,52.76
"2007-07-31",68.8,68.9,67.18,67.27,3894300,51.93
"2007-08-01",67.99,68,66.32,66.47,7847200,51.31
"2007-08-02",66.88,68.26,66.35,68.18,3505900,52.63
"2007-08-03",68.43,68.88,67.57,67.63,3271000,52.2
"2007-08-06",67.86,69.61,67.83,69.49,2889600,53.64
"2007-08-07",68.97,70.18,68.97,69.76,3682500,53.85
"2007-08-08",70.06,70.22,69.1,69.67,2895200,53.78
"2007-08-09",69.7,70.45,68.46,68.46,3982500,52.84
"2007-08-10",67.98,69.18,67.52,68.21,3151900,52.65
"2007-08-13",68.31,70.08,67.9,69.71,2931500,53.81
"2007-08-14",69.58,70.25,68.93,69.11,2478200,53.35
"2007-08-15",69.26,69.84,68.61,68.65,2773200,52.99
"2007-08-16",68.58,69.18,66.87,67.92,4463100,52.43
"2007-08-17",69.2,69.4,68.37,69.07,2943800,53.31
"2007-08-20",69.43,70,69.08,69.54,2402300,53.68
"2007-08-21",69.2,69.89,69.02,69.44,1932200,53.6
"2007-08-22",69.81,69.99,69.12,69.64,2246200,53.75
"2007-08-23",69.9,70,69.31,69.66,2899500,53.77
"2007-08-24",69.74,70.42,69.53,70.33,1758000,54.29
"2007-08-27",69.9,70.13,68.9,68.95,1877900,53.22
"2007-08-28",68.5,69.3,68.47,68.49,2665800,52.87
"2007-08-29",68.75,69.4,68.51,69.36,1513500,53.54
"2007-08-30",68.77,68.93,68.13,68.33,2543200,52.74
"2007-08-31",68.67,68.98,68.13,68.69,2728000,53.02
"2007-09-04",68.93,69.36,68.74,69.15,2016400,53.38
"2007-09-05",68.43,68.65,67.82,68.28,1883200,53.11
"2007-09-06",68.64,68.83,68.03,68.69,1380200,53.43
"2007-09-07",68.1,68.45,67.65,67.76,1864400,52.71
"2007-09-10",67.89,68.55,67.7,68.15,1747500,53.01
"2007-09-11",68.2,68.91,67.7,68.66,2044600,53.41
"2007-09-12",68.59,69.62,68.27,69.55,1987500,54.1
"2007-09-13",69.6,70,69.36,69.7,1694200,54.22
"2007-09-14",69.42,69.83,69.29,69.55,1492800,54.1
"2007-09-17",69.13,69.32,68.34,68.34,2657700,53.16
"2007-09-18",68.54,69.57,68.46,69.4,2520000,53.98
"2007-09-19",69.75,70.28,69.21,70.11,2491300,54.54
"2007-09-20",69.79,70.27,69.55,69.55,1430700,54.1
"2007-09-21",70.31,70.45,69.55,69.96,2151700,54.42
"2007-09-24",69.76,70.07,69.5,69.62,1799200,54.15
"2007-09-25",69.26,70.14,69.05,69.67,1957900,54.19
"2007-09-26",69.95,70.75,69.72,70.55,1462000,54.88
"2007-09-27",70.66,70.78,70.26,70.55,1264700,54.88
"2007-09-28",70.48,70.58,70.19,70.26,2038000,54.65
"2007-10-01",70.67,70.72,69.77,70.19,2033400,54.6
"2007-10-02",70.15,70.84,70.1,70.77,1665000,55.05
"2007-10-03",70.67,70.91,69.92,70.17,2153300,54.58
"2007-10-04",70.45,70.5,69.82,69.96,1416600,54.42
"2007-10-05",70.35,70.5,69.8,70.03,2082500,54.47
"2007-10-08",69.78,70.06,69.56,69.88,1287300,54.36
"2007-10-09",70.21,70.23,69.66,70.03,1557600,54.47
"2007-10-10",69.89,70.24,69.69,69.79,1582100,54.29
"2007-10-11",69.97,70.47,69.71,70.01,2173400,54.46
"2007-10-12",69.93,70.5,69.5,70.5,1631300,54.84
"2007-10-15",70.5,70.71,69.11,69.25,2276100,53.87
"2007-10-16",69.12,69.69,69.01,69.43,1703900,54.01
"2007-10-17",69.52,69.98,69.19,69.3,2127100,53.91
"2007-10-18",68.87,69.32,68.8,68.81,2006000,53.52
"2007-10-19",68.58,68.88,67.01,67.14,2776800,52.23
"2007-10-22",67.5,70.97,67.21,70.19,3368200,54.6
"2007-10-23",70.15,70.5,68.85,69.34,2464100,53.94
"2007-10-24",69.14,70.25,69.09,70.08,2342700,54.51
"2007-10-25",70.07,70.96,69.57,69.9,2117000,54.37
"2007-10-26",70.14,71.16,69.89,70.88,2162600,55.13
"2007-10-29",70.85,70.9,70.43,70.47,1882900,54.82
"2007-10-30",70.59,70.59,69.91,69.95,1976800,54.41
"2007-10-31",69.87,71.02,69.85,70.89,2257000,55.14
"2007-11-01",70.74,71.12,69.23,69.25,2485500,53.87
"2007-11-02",69.31,69.62,68.02,69.16,2277800,53.8
"2007-11-05",68.5,69.83,68.5,69.28,2321400,53.89
"2007-11-06",69.22,69.64,68.7,69.54,1633800,54.09
"2007-11-07",69.03,69.31,67.99,67.99,1920300,52.89
"2007-11-08",68.05,68.94,67.69,68.76,3324400,53.49
"2007-11-09",67.99,69.06,67.99,68.13,3163800,53
"2007-11-12",68.15,69.08,67.75,67.97,2289500,52.87
"2007-11-13",68.53,69.35,67.95,69.3,2342200,53.91
"2007-11-14",69.58,69.58,68.21,68.36,2388200,53.17
"2007-11-15",68.5,69.49,68.48,68.72,2388900,53.45
"2007-11-16",69.02,69.56,68.45,69.15,2842000,53.79
"2007-11-19",68.58,69.07,68.5,68.68,2639800,53.42
"2007-11-20",68.65,69.84,68.5,68.92,2722100,53.61
"2007-11-21",68.49,69.13,67.56,67.56,3171800,52.55
"2007-11-23",67.87,68.3,67.49,68.25,757600,53.09
"2007-11-26",67.75,69.7,67.75,68.34,2953600,53.16
"2007-11-27",68.72,69.45,68.23,69.13,2694300,53.77
"2007-11-28",69.51,69.75,68.55,69.71,2942500,54.22
"2007-11-29",69.5,69.82,68.69,69.37,2526700,53.96
"2007-11-30",70.06,70.33,69.26,69.81,2566500,54.3
"2007-12-03",69.81,69.85,68.85,69.59,2778700,54.13
"2007-12-04",69.24,69.6,68.4,68.45,2695800,53.24
"2007-12-05",68.49,69.83,68.36,69.65,3507700,54.6
"2007-12-06",69.63,70,68.77,69.38,2401000,54.39
"2007-12-07",69.5,69.95,69.16,69.33,3076300,54.35
"2007-12-10",69.38,69.88,69.29,69.71,1660300,54.65
"2007-12-11",69.71,70.06,68.56,68.66,2893800,53.82
"2007-12-12",70.06,70.06,68.9,69.58,2953300,54.55
"2007-12-13",69.21,69.74,68.58,69.22,2113400,54.26
"2007-12-14",68.62,69.1,68.11,68.11,2140500,53.39
"2007-12-17",67.95,68.73,67.8,68.17,2308000,53.44
"2007-12-18",68.18,68.8,67.68,68.06,3026500,53.35
"2007-12-19",68.31,68.94,67.85,68.12,1937200,53.4
"2007-12-20",68.56,69.59,68.43,69.44,2562600,54.44
"2007-12-21",69.25,70.24,69.13,69.29,4496000,54.32
"2007-12-24",69.64,69.96,69.26,69.83,783200,54.74
"2007-12-26",69.97,70.15,69.5,70.09,1686500,54.95
"2007-12-27",69.7,70,69.34,69.5,1530100,54.48
"2007-12-28",69.93,70.35,69.69,69.94,1473500,54.83
"2007-12-31",69.66,70.31,69.33,69.34,1392100,54.36
"2008-01-02",69.08,69.49,68.55,68.82,2049300,53.95
"2008-01-03",68.67,69.56,68.67,69.18,2484200,54.23
"2008-01-04",69.06,69.38,68.65,68.97,3164900,54.07
"2008-01-07",69.26,69.69,68.93,69.49,2645800,54.47
"2008-01-08",69.24,69.5,68.09,68.3,2903300,53.54
"2008-01-09",68.52,69.5,68.35,69.5,3791400,54.48
"2008-01-10",69,69.39,68.38,68.4,3472100,53.62
"2008-01-11",67.91,68.32,66.45,66.77,3849200,52.34
"2008-01-14",67.23,67.72,66.81,67.52,2144200,52.93
"2008-01-15",66.83,67.68,66.62,67.2,2465200,52.68
"2008-01-16",67.03,67.46,66.54,66.64,3386800,52.24
"2008-01-17",67,67,65.75,65.85,2780900,51.62
"2008-01-18",66.1,66.25,64.87,65.06,3740800,51
"2008-01-22",62.84,65.31,62.16,64.54,6060400,50.59
"2008-01-23",62.96,64.88,62.96,64.44,4658400,50.52
"2008-01-24",64,65.16,62.48,64.43,3568800,50.51
"2008-01-25",64.92,64.92,63.4,64.08,3653800,50.23
"2008-01-28",64.29,64.79,63.49,63.91,3620000,50.1
"2008-01-29",64.28,65.84,64.1,65.44,3758000,51.3
"2008-01-30",65.04,65.59,64.3,64.52,2616500,50.58
"2008-01-31",63.73,65.88,63.73,65.63,3034200,51.45
"2008-02-01",65.5,67.11,65.5,67.04,3403400,52.55
"2008-02-04",66.9,66.9,65.8,66.04,1917700,51.77
"2008-02-05",65.01,65.95,65.01,65.44,2594500,51.3
"2008-02-06",65.76,65.91,64.92,65.3,2338700,51.19
"2008-02-07",65.2,65.63,64.61,65.06,2670200,51
"2008-02-08",64.84,65.09,64.3,64.57,2247700,50.62
"2008-02-11",64.6,64.87,64.22,64.71,3283300,50.73
"2008-02-12",64.98,65.81,64.67,65.61,4603200,51.43
"2008-02-13",66.03,66.38,65.02,65.31,4266700,51.2
"2008-02-14",65.19,65.28,63.94,64.15,3993500,50.29
"2008-02-15",64.03,64.43,63.7,64.43,3166000,50.51
"2008-02-19",65.03,65.03,63.89,64.01,2551700,50.18
"2008-02-20",63.58,64.27,63.53,64.26,3128900,50.38
"2008-02-21",64.2,64.69,63.9,64.14,3475900,50.28
"2008-02-22",64.2,65.13,64.12,65.04,3305900,50.99
"2008-02-25",65.05,65.68,65.05,65.5,2398800,51.35
"2008-02-26",65.06,66.14,64.88,65.95,2136300,51.7
"2008-02-27",65.76,66.57,65.68,66.21,2343000,51.9
"2008-02-28",65.84,66.33,65.46,65.76,2201300,51.55
"2008-02-29",65.22,65.65,65.03,65.18,2242400,51.1
"2008-03-03",65.22,65.55,64.84,65.55,2129400,51.39
"2008-03-04",65.12,65.24,64.35,64.99,2830000,50.95
"2008-03-05",64.55,64.89,64.05,64.47,3404100,50.99
"2008-03-06",64.4,64.45,63.88,63.93,2948300,50.57
"2008-03-07",63.8,64.08,63.17,63.52,4887900,50.24
"2008-03-10",63.45,64.03,63.45,63.62,2050400,50.32
"2008-03-11",64.11,64.39,63.48,63.94,2425200,50.58
"2008-03-12",63.96,64.17,63.09,63.15,2449500,49.95
"2008-03-13",63.39,63.82,62.7,63.64,2440400,50.34
"2008-03-14",64,64,62.57,62.99,3250100,49.82
"2008-03-17",62.83,63.68,62.76,63.27,4498300,50.05
"2008-03-18",64,64.46,63.41,64.46,3247800,50.99
"2008-03-19",64.97,65.54,64.42,64.46,3267400,50.99
"2008-03-20",64.54,65.74,64.33,64.97,2491200,51.39
"2008-03-24",65.1,65.25,64.6,64.96,2467400,51.38
"2008-03-25",64.87,65.51,64.62,65.43,1620000,51.75
"2008-03-26",65.11,65.29,64.67,65,2435900,51.41
"2008-03-27",65.27,65.3,64.3,64.32,1580400,50.88
"2008-03-28",64.45,64.49,63.69,64.08,1876000,50.69
"2008-03-31",64.19,64.77,63.65,64.55,1994000,51.06
"2008-04-01",64.83,65.5,64.64,65.5,2208300,51.81
"2008-04-02",65.21,65.88,65.13,65.57,1902900,51.86
"2008-04-03",65.42,65.59,64.55,65.28,1412000,51.64
"2008-04-04",65.71,65.71,65,65.28,2482100,51.64
"2008-04-07",65.55,65.55,64.67,65,1905400,51.41
"2008-04-08",64.91,64.93,64.49,64.75,1831200,51.22
"2008-04-09",64.01,64.07,63.22,63.46,3256200,50.2
"2008-04-10",63.52,63.75,63.23,63.46,3174600,50.2
"2008-04-11",63.2,64,63.2,63.38,2298100,50.13
"2008-04-14",63.23,64.28,63.23,63.91,1367500,50.55
"2008-04-15",64.19,64.19,63.56,63.86,1313400,50.51
"2008-04-16",64.4,64.4,63.25,63.62,2042500,50.32
"2008-04-17",63.56,63.83,63,63.12,2164100,49.93
"2008-04-18",63.93,64.18,63.13,63.34,3219700,50.1
"2008-04-21",64.48,64.55,63.45,64.03,2561000,50.65
"2008-04-22",64.97,64.97,64,64.37,2601300,50.92
"2008-04-23",64.35,64.5,63.77,63.99,2119000,50.62
"2008-04-24",64.2,64.34,63.44,63.73,1837000,50.41
"2008-04-25",64.17,64.17,63.11,63.77,1490100,50.44
"2008-04-28",63.9,64.24,63.43,63.91,1660200,50.55
"2008-04-29",63.94,64.15,63.65,63.86,1861600,50.51
"2008-04-30",64.12,64.61,63.77,63.99,3057700,50.62
"2008-05-01",63.84,64.75,63.84,64.74,1803100,51.21
"2008-05-02",65.01,65.31,64.22,64.63,2526300,51.12
"2008-05-05",64.83,64.83,64.05,64.39,1997400,50.93
"2008-05-06",64.24,64.75,63.93,64.57,2236800,51.07
"2008-05-07",64.25,64.51,63.16,63.2,3436600,49.99
"2008-05-08",63.45,63.48,62.81,63.08,2213300,49.9
"2008-05-09",62.94,62.94,62.29,62.35,2452900,49.32
"2008-05-12",62.6,62.92,61.94,62.65,2511600,49.56
"2008-05-13",63.1,63.54,63,63.34,2540300,50.1
"2008-05-14",63.75,63.75,63,63.09,2542600,49.9
"2008-05-15",63.13,63.71,62.68,63.64,2198200,50.34
"2008-05-16",63.86,63.86,63.16,63.42,2165900,50.16
"2008-05-19",63.32,63.87,63.32,63.76,1747400,50.43
"2008-05-20",63.76,64,63.55,63.72,2300900,50.4
"2008-05-21",63.71,64.09,62.92,63.04,2357200,49.86
"2008-05-22",63.16,63.77,62.96,63.7,1951800,50.39
"2008-05-23",63.29,63.63,62.7,62.79,1745000,49.67
"2008-05-27",62.94,63.63,62.89,63.46,2246100,50.2
"2008-05-28",63.57,63.72,63.12,63.44,1623900,50.18
"2008-05-29",63.57,64.44,63.41,64.22,1688900,50.8
"2008-05-30",64.5,64.5,63.8,63.8,1921100,50.46
"2008-06-02",63.68,63.68,62.52,62.98,2098000,49.82
"2008-06-03",63.13,63.42,62.96,63.08,3420200,49.9
"2008-06-04",62.77,63.39,62.53,63.1,1737600,50.37
"2008-06-05",63.2,63.45,62.92,63.29,1521900,50.53
"2008-06-06",62.93,63.23,62.1,62.11,2475800,49.58
"2008-06-09",62.46,62.46,61.84,62.07,2017400,49.55
"2008-06-10",61.75,62.99,61.69,62.55,2718000,49.94
"2008-06-11",62.13,62.55,61.75,61.83,2155700,49.36
"2008-06-12",61.98,62.76,61.97,62.25,1764400,49.7
"2008-06-13",62.6,62.86,62.16,62.62,1393200,49.99
